ramp_dist,drive,voltage,jump_dist
10,43,7.9,40
11,55,7.9,60
6,73,7.9,52
6,79,7.9,53
6,100,7.9,57
8,100,7.9,60
9,40,7.91,35
11,40,7.91,41
8,46,7.91,40
7,58,7.91,52
11,58,7.91,65
6,85,7.91,53
7,88,7.91,58
7,100,7.91,58
11,49,7.94,54
7,79,7.94,58
10,40,7.95,38
11,43,7.95,45
7,49,7.95,40
11,49,7.95,53
7,52,7.95,40
7,55,7.95,47
7,100,7.95,57
11,58,7.96,70
5,88,7.96,53
9,100,7.96,77
11,40,7.98,39
11,46,7.98,50
6,58,7.99,47
11,58,7.99,72
7,70,7.99,55
6,73,7.99,56
7,73,7.99,57
6,79,7.99,56
6,88,7.99,56
6,100,7.99,57
11,58,8.02,66
11,58,8.03,70
6,64,8.03,53
11,64,8.03,75
6,70,8.03,54
11,70,8.03,79
5,79,8.03,52
7,64,8.05,55
10,79,8.05,77
6,52,8.06,41
7,58,8.06,45
11,58,8.06,66
11,64,8.06,75
6,100,8.08,55
8,100,8.09,64
8,47,8.09,40
8,50,8.02,42
8,55,8.02,47
8,60,7.95,52
8,65,7.9,60
8,85,8.05,60
9,50,8.05,43
9,55,8.05,48
9,60,7.91,62
9,59,7.91,57
9,56,7.91,53
9,57,7.91,54
9,58,8.05,58
9,60,8.05,58
9,63,7.97,67
9,66,7.97,69
9,69,7.97,70
9,72,7.97,70
9,85,7.97,72
9,95,7.97,74
10,43,8.1,40
10,46,81,43
10,49,8.1,48
10,52,8.1,52
10,55,8,56
10,58,7.97,63
10,61,7.97,68
10,64,7.95,71
10,67,7.95,73
10,70,7.94,73
10,73,7.94,73
