,start_dist_inch,speed,ramp_up_time_sec,box_dist_inch,jump_dist_inch,pitch_control,ramp_angle,clearance_inch,note
,107,40,1,38,30,70,30,1,Smooth landing
,107,43,1,,34,70,30,1,Smooth landing
,107,46,1,,39,70,30,0.5,Smooth landing
,107,49,1,,41.5,70,30,0.5,Smooth landing
,107,52,1,,45,70,30,0.5,Smooth landing
,107,55,1,,48,70,30,1,Smooth landing
,107,58,1,,54,70,30,0.5,Smooth landing
,107,62,1,,58,70,30,0.5,Smooth landing
,107,65,1,,63,70,30,0.5,Smooth landing
,107,68,1,,65,70,30,0.1,Smooth landing
